Source,Target
ED,CMS
D,CMS
ETN,PH
ES,CMS
FITB,RF
BEN,TROW
HBAN,RF
KLAC,AMAT
L,GL
MET,RF
MCO,SPGI
MS,RF
NI,CMS
NTRS,RF
OMC,IPG
PAYX,ADP
PNW,CMS
ROK,PH
STT,SCHW
TXN,ADI
USB,RF
AEP,CMS
CAT,PH
CVX,XOM
KO,PEP
COP,MRO
DTE,CMS
ETR,CMS
EXC,AEE
HAL,SLB
KMB,CLX
NSC,CSX
PEG,CMS
SO,CMS
XEL,CMS
CMI,PCAR
EMR,PH
JPM,RF
BAC,RF
DUK,CMS
LNC,RF
NEE,CMS
WFC,RF
MMM,ITW
LOW,HD
HES,APA
LMT,NOC
PH,ITW
MMC,AON
PNC,RF
C,RF
GL,RF
MRO,APA
AEE,CMS
KEY,RF
MSFT,ADBE
BK,RF
CMA,RF
SCHW,RF
TFC,RF
COF,RF
CMS,ED
CMS,D
PH,ETN
CMS,ES
RF,FITB
TROW,BEN
RF,HBAN
AMAT,KLAC
GL,L
RF,MET
SPGI,MCO
RF,MS
CMS,NI
RF,NTRS
IPG,OMC
ADP,PAYX
CMS,PNW
PH,ROK
SCHW,STT
ADI,TXN
RF,USB
CMS,AEP
PH,CAT
XOM,CVX
PEP,KO
MRO,COP
CMS,DTE
CMS,ETR
AEE,EXC
SLB,HAL
CLX,KMB
CSX,NSC
CMS,PEG
CMS,SO
CMS,XEL
PCAR,CMI
PH,EMR
RF,JPM
RF,BAC
CMS,DUK
RF,LNC
CMS,NEE
RF,WFC
ITW,MMM
HD,LOW
APA,HES
NOC,LMT
ITW,PH
AON,MMC
RF,PNC
RF,C
RF,GL
APA,MRO
CMS,AEE
RF,KEY
ADBE,MSFT
RF,BK
RF,CMA
RF,SCHW
RF,TFC
RF,COF
