Source,Target
MMM,HON
AFL,PFG
ARE,VNO
LNT,XEL
GOOGL,GOOG
AEE,XEL
AAL,DAL
AEP,XEL
AIG,MET
AWK,XEL
AMP,WFC
AME,ROP
ADI,TXN
ANTM,UNH
AON,MMC
APA,OXY
AMAT,LRCX
APTV,BWA
AJG,MMC
T,VZ
ATO,XEL
ADP,PAYX
AVB,UDR
BKR,HAL
BAC,WFC
BK,WFC
BLK,TROW
BXP,VNO
CCL,RCL
CNP,D
SCHW,STT
CVX,OXY
CB,TRV
CINF,WRB
C,WFC
CMS,XEL
CL,PG
CMA,ZION
COP,OXY
ED,XEL
CSX,UNP
CMI,PCAR
DHI,PHM
DHR,HON
DAL,UAL
DVN,OXY
FANG,PXD
DISCA,DISCK
D,XEL
DOV,EMR
DTE,XEL
DUK,XEL
DRE,VNO
ETN,PH
EIX,XEL
EMR,ROK
ETR,XEL
EOG,PXD
EQR,VNO
ESS,WELL
EVRG,XEL
ES,XEL
EXR,VNO
FRT,WELL
FITB,ZION
BEN,TROW
GD,NOC
GIS,K
GL,WFC
GS,WFC
HAL,SLB
HIG,UNM
HCA,UHS
PEAK,WELL
HES,SLB
HD,LOW
HON,RTX
HBAN,ZION
IEX,SNA
ITW,PH
IVZ,TROW
JPM,WFC
KEY,ZION
KIM,WELL
LH,DGX
LVS,WYNN
LEN,PHM
LNC,ZION
LMT,NOC
L,PRU
MTB,ZION
MRO,OXY
MPC,VLO
MMC,WFC
MLM,VMC
MA,V
MET,WFC
MCHP,TXN
MAA,UDR
MCO,SPGI
MS,WFC
NEE,XEL
NI,SRE
NTRS,WFC
PH,TT
PBCT,TFC
PSX,VLO
PNW,XEL
PNC,ZION
PPL,XEL
PFG,WFC
PLD,VNO
PRU,WFC
PEG,XEL
PSA,VNO
RJF,STT
O,WELL
REG,WELL
RF,ZION
ROST,TJX
STX,WDC
SRE,XEL
SPG,WELL
SO,XEL
STT,TROW
SIVB,ZION
TFC,ZION
UDR,WELL
USB,WFC
VNO,WELL
WEC,XEL
